#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
fasta_files/GCF_037095035.2.fna	NZ_CP157306.1	40799	41569	-	aadD_1	1-771/771	===============	0/0	100	99.87	resfinder	AF181950	aadD	Amikacin;Tobramycin
fasta_files/GCF_037095035.2.fna	NZ_CP157306.1	44015	46021	-	mecA_6	1-2007/2007	===============	0/0	100	100	resfinder	BX571856	mecA	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam
fasta_files/GCF_037095035.2.fna	NZ_CP157306.1	54986	55717	+	erm(A)_1	1-732/732	===============	0/0	100	100	resfinder	X03216	erm(A)	Erythromycin;Lincomycin;Clindamycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S
fasta_files/GCF_037095035.2.fna	NZ_CP157306.1	55843	56625	-	ant(9)-Ia_1	1-783/783	===============	0/0	100	100	resfinder	X02588	ant(9)-Ia	
fasta_files/GCF_037095035.2.fna	NZ_CP157306.1	1728902	1729633	+	erm(A)_1	1-732/732	===============	0/0	100	100	resfinder	X03216	erm(A)	Erythromycin;Lincomycin;Clindamycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S
fasta_files/GCF_037095035.2.fna	NZ_CP157306.1	1729759	1730541	-	ant(9)-Ia_1	1-783/783	===============	0/0	100	100	resfinder	X02588	ant(9)-Ia	
fasta_files/GCF_037095035.2.fna	NZ_CP157307.1	11733	12632	+	blaZ_29	1-900/900	===============	0/0	100	98.56	resfinder	JDXN01000019	blaZ	Amoxicillin;Ampicillin;Penicillin;Piperacillin
fasta_files/GCF_037095035.2.fna	NZ_CP157307.1	21970	22869	-	mph(C)_2	1-900/900	===============	0/0	100	100	resfinder	AF167161	mph(C)	Erythromycin;Spiramycin;Telithromycin
fasta_files/GCF_037095035.2.fna	NZ_CP157307.1	22968	24434	-	msr(A)_1	1-1467/1467	===============	0/0	100	98.98	resfinder	X52085	msr(A)	Erythromycin;Azithromycin;Telithromycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
fasta_files/GCF_037963075.1.fna	NZ_CP150142.1	124497	125396	-	mph(C)_2	1-900/900	===============	0/0	100	100	resfinder	AF167161	mph(C)	Erythromycin;Spiramycin;Telithromycin
fasta_files/GCF_037963075.1.fna	NZ_CP150142.1	125495	126961	-	msr(A)_1	1-1467/1467	===============	0/0	100	98.98	resfinder	X52085	msr(A)	Erythromycin;Azithromycin;Telithromycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S
fasta_files/GCF_037963075.1.fna	NZ_CP150142.1	133898	134692	+	aph(3')-III_1	1-795/795	===============	0/0	100	100	resfinder	M26832	aph(3')-III	Amikacin
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
fasta_files/GCF_045789615.1.fna	NZ_CP089491.1	1511148	1513154	+	mecA_2	1-2007/2007	===============	0/0	100	100	resfinder	NC_002951	mecA	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam
fasta_files/GCF_045789615.1.fna	NZ_CP089491.1	2313481	2314368	-	blaZ_138	1-888/888	===============	0/0	100	100	resfinder	CP003979	blaZ	Amoxicillin;Ampicillin;Penicillin;Piperacillin
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
fasta_files/GCF_046529985.1.fna	NZ_CP170406.1	1463584	1464081	-	dfrG_1	1-498/498	===============	0/0	100	100	resfinder	AB205645	dfrG	Trimethoprim
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
fasta_files/GCF_045346615.1.fna	NZ_CP150775.1	1301297	1303303	+	mecA_6	1-2007/2007	===============	0/0	100	100	resfinder	BX571856	mecA	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
fasta_files/GCF_023223475.1.fna	NZ_CP092475.1	806578	807465	-	blaZ_138	1-888/888	===============	0/0	100	100	resfinder	CP003979	blaZ	Amoxicillin;Ampicillin;Penicillin;Piperacillin
fasta_files/GCF_023223475.1.fna	NZ_CP092475.1	2797289	2799295	+	mecA_2	1-2007/2007	===============	0/0	100	99.95	resfinder	NC_002951	mecA	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
fasta_files/GCF_029024965.1.fna	NZ_CP118983.1	11595	12482	+	blaZ_78	1-888/888	===============	0/0	100	99.66	resfinder	KU607301	blaZ	Amoxicillin;Ampicillin;Penicillin;Piperacillin
fasta_files/GCF_029024965.1.fna	NZ_CP118983.1	15524	16423	-	mph(C)_2	1-900/900	===============	0/0	100	99.89	resfinder	AF167161	mph(C)	Erythromycin;Spiramycin;Telithromycin
fasta_files/GCF_029024965.1.fna	NZ_CP118983.1	16765	18231	-	msr(A)_1	1-1467/1467	===============	0/0	100	99.25	resfinder	X52085	msr(A)	Erythromycin;Azithromycin;Telithromycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S
fasta_files/GCF_029024965.1.fna	NZ_CP118984.1	351	1730	+	tet(K)_1	1-1380/1380	===============	0/0	100	100	resfinder	U38656	tet(K)	Doxycycline;Tetracycline
fasta_files/GCF_029024965.1.fna	NZ_CP118985.1	848	1696	+	str_2	1-849/849	===============	0/0	100	99.88	resfinder	FN435330	str	Streptomycin
fasta_files/GCF_029024965.1.fna	NZ_CP118986.1	1	486	-	lnu(A)_1	1-486/486	===============	0/0	100	93.21	resfinder	M14039	lnu(A)	Lincomycin
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
fasta_files/GCF_026625525.1.fna	NZ_CP113051.1	1333057	1333788	+	erm(A)_1	1-732/732	===============	0/0	100	100	resfinder	X03216	erm(A)	Erythromycin;Lincomycin;Clindamycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S
fasta_files/GCF_026625525.1.fna	NZ_CP113051.1	1333914	1334657	-	ant(9)-Ia_1	38-783/783	========/======	2-Jan	95.02	99.73	resfinder	X02588	ant(9)-Ia	
fasta_files/GCF_026625525.1.fna	NZ_CP113051.1	1630863	1631750	+	blaZ_138	1-888/888	===============	0/0	100	99.66	resfinder	CP003979	blaZ	Amoxicillin;Ampicillin;Penicillin;Piperacillin
fasta_files/GCF_026625525.1.fna	NZ_CP113051.1	2488084	2488854	-	aadD_1	1-771/771	===============	0/0	100	99.74	resfinder	AF181950	aadD	Amikacin;Tobramycin
fasta_files/GCF_026625525.1.fna	NZ_CP113051.1	2492337	2494343	-	mecA_6	1-2007/2007	===============	0/0	100	100	resfinder	BX571856	mecA	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam
fasta_files/GCF_026625525.1.fna	NZ_CP113051.1	2503310	2504041	+	erm(A)_1	1-732/732	===============	0/0	100	100	resfinder	X03216	erm(A)	Erythromycin;Lincomycin;Clindamycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S
fasta_files/GCF_026625525.1.fna	NZ_CP113051.1	2504167	2504949	-	ant(9)-Ia_1	1-783/783	===============	0/0	100	100	resfinder	X02588	ant(9)-Ia	
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
fasta_files/GCF_001956655.1.fna	NZ_CP018842.1	566954	567595	+	fusB_1	1-642/642	===============	0/0	100	100	resfinder	AY373761	fusB	Fusidic_acid
fasta_files/GCF_001956655.1.fna	NZ_CP018842.1	2407822	2408250	+	fosB_3	1-429/429	===============	0/0	100	97.2	resfinder	ACHE01000077	fosB	Fosfomycin
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
fasta_files/GCF_049992935.1.fna	NZ_CP188208.1	2289253	2290152	+	mph(C)_2	1-900/900	===============	0/0	100	92	resfinder	AF167161	mph(C)	Erythromycin;Spiramycin;Telithromycin
fasta_files/GCF_049992935.1.fna	NZ_CP188211.1	21052	21471	+	fosB4_1	1-420/420	===============	0/0	100	100	resfinder	KR870311	fosB4	Fosfomycin
fasta_files/GCF_049992935.1.fna	NZ_CP188214.1	1430	1849	-	fosB4_1	1-420/420	===============	0/0	100	100	resfinder	KR870311	fosB4	Fosfomycin
fasta_files/GCF_049992935.1.fna	NZ_CP188214.1	3873	4292	-	fosB4_1	1-420/420	===============	0/0	100	100	resfinder	KR870311	fosB4	Fosfomycin
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
